Gene ID,Gene Name,cp_hyd_r1,cp_hyd_r3,cp_rehyd_r1,cp_rehyd_r2,cp_rehyd_r3,cp_wc2_r2,cp_wc2_r3,cp_wc60_r1,cp_wc60_r2,cp_wc60_r3
Cp_V2_contig_1,.,0.0,243.096924,546.474792,786.789062,539.759033,706.91156,1243.075928,1128.765747,347.495728,375.950562
Cp_V2_contig_10,.,0.0,59.010334,31.663055,43.552345,34.74971,36.900623,40.795456,0.0,51.562328,104.809502
Cp_V2_contig_100,.,0.0,5840.900391,3675.539551,1840.885742,1686.400513,2181.921631,1503.823486,1363.092163,5611.18457,4126.259766
Cp_V2_contig_1000,.,0.0,123.47271,81.372414,93.497696,45.639935,89.097969,129.924118,313.451904,51.768578,101.004013
Cp_V2_contig_10000,.,0.0,112.648804,283.162872,298.673187,235.179306,222.491196,403.180115,394.779968,59.193554,11.73359
Cp_V2_contig_10001,.,0.0,6.013281,0.0,0.0,0.0,0.0,4.839861,0.0,0.0,0.0
Cp_V2_contig_10002,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10003,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10004,.,0.0,157.708328,398.167023,61.932232,75.043533,85.980629,149.806793,61.334911,375.889374,365.326904
Cp_V2_contig_10005,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10006,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.418718,0.0
Cp_V2_contig_10007,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10008,.,0.0,0.0,0.0,7.292021,7.425152,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10009,.,0.0,0.0,19.850931,0.0,0.0,15.296722,0.0,0.0,0.0,0.0
Cp_V2_contig_1001,.,0.0,27.340385,36.420719,14.983604,49.006004,0.0,153.698303,144.696167,118.421486,104.65094
Cp_V2_contig_10010,.,0.0,5.612396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10011,.,0.0,0.0,23.460192,0.0,0.0,0.0,2.321826,0.0,0.0,0.0
Cp_V2_contig_10012,.,0.0,0.0,0.0,0.0,7.524154,0.0,0.0,0.0,2.509367,0.0
Cp_V2_contig_10013,.,0.0,185.209061,166.518143,95.195839,85.834755,47.195099,112.49408,109.623451,246.674179,104.016693
Cp_V2_contig_10014,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.753885,0.0,0.0
Cp_V2_contig_10015,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10016,.,0.0,31.188887,23.624249,166.417908,201.865128,115.051651,379.961823,321.75415,70.812263,117.018776
Cp_V2_contig_10017,.,0.0,212.14856,14.272984,389.373932,356.407288,346.822357,487.91037,596.575195,86.074715,58.509388
Cp_V2_contig_10018,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10019,.,0.0,0.0,0.0,14.783823,0.0,0.0,7.161687,12.538076,0.0,0.0
Cp_V2_contig_1002,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10020,.,0.0,0.0,0.0,0.0,0.0,0.0,4.872563,0.0,0.0,0.0
Cp_V2_contig_10021,.,0.0,129.806702,94.004822,118.370476,93.655914,156.809525,132.082443,138.596573,100.065292,218.498474
Cp_V2_contig_10022,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10023,.,0.0,0.0,0.0,0.0,0.0,0.0,4.872563,23.720684,0.0,0.0
Cp_V2_contig_10024,.,0.0,0.0,0.0,0.0,14.751302,0.0,0.0,0.0,4.984358,0.0
Cp_V2_contig_10025,.,0.0,151.935577,60.373081,37.059448,106.823189,71.118881,36.985699,19.654282,147.812012,128.752365
Cp_V2_contig_10026,.,0.0,12.10674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10027,.,0.0,0.0,0.0,0.0,0.0,0.0,2.485334,0.0,0.0,0.0
Cp_V2_contig_10028,.,0.0,23.491886,0.0,0.0,0.0,10.729455,2.027509,0.0,2.543741,0.0
Cp_V2_contig_10029,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_1003,.,0.0,0.0,0.0,0.0,0.0,0.0,2.452632,0.0,0.0,0.0
Cp_V2_contig_10030,.,0.0,73.041321,45.936039,312.058533,170.58049,172.686218,150.967712,165.875351,211.749298,185.200455
Cp_V2_contig_10031,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10032,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10033,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10034,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10035,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10036,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10037,.,0.0,99.339409,120.582108,71.521744,29.007593,10.656959,30.543449,37.444794,137.087051,101.63826
Cp_V2_contig_10038,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10039,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.578116,0.0
Cp_V2_contig_1004,.,0.0,52.997051,13.780812,191.490463,196.915024,212.885422,88.621788,105.048744,41.885799,20.771626
Cp_V2_contig_10040,.,0.0,5.933104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10041,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10042,.,0.0,0.0,0.0,0.0,0.0,0.0,2.354527,0.0,0.0,0.0
Cp_V2_contig_10043,.,0.0,155.142654,168.814957,232.145981,172.659531,240.760254,206.086563,235.173645,197.964966,164.111694
Cp_V2_contig_10044,.,0.0,0.0,11.976182,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10045,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10046,.,0.0,55.161835,61.357426,10.588414,46.827957,21.386414,17.724358,0.0,66.034157,33.139465
Cp_V2_contig_10047,.,0.0,65.584854,12.304296,14.484151,35.24472,37.77058,12.263163,28.125954,49.121712,63.107685
Cp_V2_contig_10048,.,0.0,74.163803,96.137573,340.926941,211.567322,247.139938,227.604294,169.602905,30.559275,22.67437
Cp_V2_contig_10049,.,0.0,108.15889,112.215187,169.414627,113.852333,204.947083,187.904358,127.24453,84.699722,135.570526
Cp_V2_contig_1005,.,0.0,358.79245,163.072937,1548.505615,1593.536743,1758.398071,576.826477,782.782593,237.667969,266.859894
Cp_V2_contig_10050,.,0.0,0.0,0.0,14.783823,14.751302,10.946943,0.0,0.0,0.0,0.0
Cp_V2_contig_10051,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10052,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10053,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.946076
Cp_V2_contig_10054,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10055,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10056,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10057,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10058,.,0.0,10.18249,59.880909,40.955185,54.352112,18.631554,63.604939,153.506714,14.781201,34.090836
Cp_V2_contig_10059,.,0.0,0.0,0.0,14.084588,0.0,10.874447,0.0,12.707509,0.0,0.0
Cp_V2_contig_1006,.,0.0,0.0,23.132078,0.0,7.32615,10.584462,6.605757,0.0,4.984358,0.0
Cp_V2_contig_10060,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10061,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10062,.,0.0,87.553375,109.918381,98.092667,50.491032,68.726509,37.705135,0.0,47.987343,12.526401
Cp_V2_contig_10063,.,0.0,32.151012,0.0,0.0,0.0,0.0,4.512844,0.0,7.081226,0.0
Cp_V2_contig_10064,.,0.0,0.0,0.0,0.0,0.0,0.0,4.741756,0.0,0.0,0.0
Cp_V2_contig_10065,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10066,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10067,.,0.0,5.852927,12.140239,6.992349,7.32615,15.441715,2.485334,0.0,7.390601,0.0
Cp_V2_contig_10068,.,0.0,50.671917,11.976182,0.0,0.0,0.0,0.0,0.0,16.637445,0.0
Cp_V2_contig_10069,.,0.0,11.946385,0.0,0.0,14.949306,10.729455,0.0,23.890118,0.0,0.0
Cp_V2_contig_1007,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10070,.,0.0,64.622726,57.748165,34.062729,158.304245,25.083725,66.057571,12.538076,64.143539,20.930187
Cp_V2_contig_10071,.,0.0,67.028046,153.39357,94.896164,70.093437,28.926029,92.317085,136.055069,52.387325,0.0
Cp_V2_contig_10072,.,0.0,29.104282,36.25666,10.788196,9.801201,0.0,7.325196,0.0,10.037467,12.050714
Cp_V2_contig_10073,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10074,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.543741,0.0
Cp_V2_contig_10075,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10076,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10077,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10078,.,0.0,0.0,0.0,14.38426,0.0,0.0,4.872563,0.0,5.121858,0.0
Cp_V2_contig_10079,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_1008,.,0.0,29.42499,48.068787,29.767427,27.621565,43.932766,36.62598,55.91304,17.256191,23.942865
Cp_V2_contig_10080,.,0.0,10.42302,22.639906,74.81813,0.0,21.313917,8.502459,17.62108,0.0,10.94078
Cp_V2_contig_10081,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10082,.,0.0,0.0,0.0,0.0,0.0,0.0,9.875934,0.0,0.0,0.0
Cp_V2_contig_10083,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10084,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10085,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.114492,0.0,0.0
Cp_V2_contig_10086,.,0.0,11.946385,0.0,24.573112,0.0,0.0,18.999727,0.0,12.478084,23.308619
Cp_V2_contig_10087,.,0.0,18.039845,0.0,7.19213,7.128146,0.0,47.515667,0.0,2.612491,0.0
Cp_V2_contig_10088,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10089,.,0.0,14.672406,0.0,43.951908,29.007593,79.020981,2.158317,0.0,8.112473,23.625742
Cp_V2_contig_1009,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10090,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10091,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10092,.,0.0,0.0,0.0,0.0,0.0,0.0,2.354527,25.245584,0.0,0.0
Cp_V2_contig_10093,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10094,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10095,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10096,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10097,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10098,.,0.0,0.0,0.0,14.983604,0.0,10.80195,13.309619,25.584452,15.640574,0.0
Cp_V2_contig_10099,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_101,.,0.0,95.330551,0.0,4.594972,14.553298,0.0,0.0,0.0,36.231129,7.293853
Cp_V2_contig_1010,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10100,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10101,.,0.0,9.260453,24.280478,36.060543,14.949306,27.693592,36.331661,18.63768,39.548306,22.67437
Cp_V2_contig_10102,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10103,.,0.0,0.0,0.0,0.0,14.751302,0.0,0.0,0.0,34.581139,55.813835
Cp_V2_contig_10104,.,0.0,77.29071,0.0,71.122177,78.112595,59.591969,132.474854,131.480362,84.923157,208.35051
Cp_V2_contig_10105,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.965515,19.027443
Cp_V2_contig_10106,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.406242,0.0
Cp_V2_contig_10107,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10108,.,0.0,0.0,10.991838,0.0,0.0,0.0,0.0,15.926745,0.0,0.0
Cp_V2_contig_10109,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_1011,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10110,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10111,.,0.0,0.0,0.0,0.0,0.0,0.0,4.839861,0.0,0.0,0.0
Cp_V2_contig_10112,.,0.0,33.473934,18.046301,40.305897,14.058288,25.663694,19.522955,17.282213,97.229362,116.701653
Cp_V2_contig_10113,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10114,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10115,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10116,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10117,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10118,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10119,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_1012,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.149976,0.0
Cp_V2_contig_10120,.,0.0,26.538614,145.846924,314.605743,416.501526,487.320312,201.917053,160.284058,63.954475,51.849785
Cp_V2_contig_10121,.,0.0,55.081657,72.021149,201.679321,175.827591,194.797592,33.748222,49.305138,44.756104,23.308619
Cp_V2_contig_10122,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10123,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10124,.,0.0,6.093459,0.0,7.19213,14.553298,0.0,7.194389,0.0,15.915572,23.784304
Cp_V2_contig_10125,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10126,.,0.0,28.783573,11.976182,14.484151,7.128146,0.0,0.0,0.0,18.046816,0.0
Cp_V2_contig_10127,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10128,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10129,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_1013,.,0.0,1428.755615,2208.047119,3590.671143,2826.705811,4083.35498,6366.445312,6580.117676,1759.066162,2262.838623
Cp_V2_contig_10130,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10131,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.160648
Cp_V2_contig_10132,.,0.0,0.0,12.140239,0.0,0.0,5.50972,0.0,0.0,0.0,0.0
Cp_V2_contig_10133,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10134,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10135,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10136,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.121858,0.0
Cp_V2_contig_10137,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10138,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10139,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_1014,.,0.0,11.946385,0.0,29.767427,14.454296,10.80195,39.896156,48.796837,23.615547,23.46718
Cp_V2_contig_10140,.,0.0,28.943928,0.0,29.367865,60.193233,26.533651,49.80479,72.686951,26.193663,46.141548
Cp_V2_contig_10141,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10142,.,0.0,0.0,0.0,0.0,0.0,9.497017,7.128985,0.0,0.0,0.0
Cp_V2_contig_10143,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10144,.,0.0,21.567636,0.0,21.176828,13.365273,31.318407,5.657406,34.394993,18.871813,23.942865
Cp_V2_contig_10145,.,0.0,23.732416,36.912888,7.292021,8.415173,38.13306,22.008289,12.538076,25.540541,0.0
Cp_V2_contig_10146,.,0.0,195.231201,203.102921,212.667297,135.731781,205.164566,271.490082,253.133591,115.362122,162.208954
Cp_V2_contig_10147,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10148,.,0.0,159.15152,88.42688,216.46315,252.653168,267.511414,226.001907,199.423187,171.186935,84.196434
Cp_V2_contig_10149,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_1015,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10150,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10151,.,0.0,0.0,0.0,0.0,0.0,0.0,3.237475,0.0,0.0,0.0
Cp_V2_contig_10152,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10153,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10154,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10155,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10156,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10157,.,0.0,0.0,0.0,0.0,0.0,0.0,4.185826,0.0,0.0,0.0
Cp_V2_contig_10158,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10159,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_1016,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10160,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10161,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10162,.,0.0,120.506157,147.65155,221.557571,79.993637,143.687698,190.651306,260.249786,103.949654,149.523987
Cp_V2_contig_10163,.,0.0,11.866208,0.0,6.892458,7.524154,16.31167,0.0,0.0,0.0,0.0
Cp_V2_contig_10164,.,0.0,267.671204,171.43985,296.975037,245.327026,246.632462,199.922256,135.207901,273.022522,290.644196
Cp_V2_contig_10165,.,0.0,0.0,0.0,0.0,0.0,0.0,2.485334,0.0,0.0,0.0
Cp_V2_contig_10166,.,0.0,329.367432,112.871414,230.547729,183.648758,151.372299,295.82019,315.993408,119.624603,260.358856
Cp_V2_contig_10167,.,0.0,17.638958,0.0,14.184479,21.681444,0.0,4.839861,0.0,18.837437,0.0
Cp_V2_contig_10168,.,0.0,10.663552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10169,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_1017,.,0.0,464.064972,258.226166,327.142029,460.359406,279.110809,116.418289,49.982872,393.558075,296.669556
Cp_V2_contig_10170,.,0.0,0.0,0.0,0.0,0.0,0.0,2.387229,11.690908,0.0,0.0
Cp_V2_contig_10171,.,0.0,31.349239,12.468354,7.19213,10.098207,0.0,9.679723,0.0,20.178059,22.991493
Cp_V2_contig_10172,.,0.0,81.299568,64.47451,0.0,14.751302,21.096428,9.61432,25.076153,93.568443,45.982986
Cp_V2_contig_10173,.,0.0,69.673889,75.466354,74.31868,96.526978,34.870728,156.804977,144.865601,62.424793,126.849625
Cp_V2_contig_10174,.,0.0,0.0,0.0,0.0,0.0,0.0,3.597194,0.0,0.0,0.0
Cp_V2_contig_10175,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10176,.,0.0,114.01181,106.801292,72.220978,108.209213,41.032913,4.80716,74.211853,219.96489,236.098862
Cp_V2_contig_10177,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10178,.,0.0,7.616823,0.0,0.0,0.0,0.0,2.40358,0.0,0.0,0.0
Cp_V2_contig_10179,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_1018,.,0.0,271.319244,23.460192,631.309204,487.485962,472.820953,782.095459,974.242371,112.234001,170.295624
Cp_V2_contig_10180,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10181,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10182,.,0.0,0.0,0.0,0.0,0.0,0.0,16.84141,0.0,23.993671,39.164822
Cp_V2_contig_10183,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10184,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10185,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10186,.,0.0,33.834728,20.343103,33.06382,64.004807,52.342339,28.564993,49.644005,15.85827,21.405874
Cp_V2_contig_10187,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10188,.,0.0,53.478115,0.0,28.968302,28.413582,7.974595,25.638186,0.0,32.518642,0.0
Cp_V2_contig_10189,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_1019,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10190,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10191,.,0.0,45.700939,73.989838,58.036495,45.243927,21.241421,47.973492,87.597107,65.656029,29.968224
Cp_V2_contig_10192,.,0.0,23.251354,0.0,0.0,0.0,0.0,0.0,0.0,9.418718,0.0
Cp_V2_contig_10193,.,0.0,42.253323,46.756325,0.0,0.0,0.0,0.0,0.0,9.624969,46.934361
Cp_V2_contig_10194,.,0.0,40.729961,23.296135,40.355843,50.194031,8.772054,68.248581,90.308037,20.040558,11.257904
Cp_V2_contig_10195,.,0.0,21.16675,0.0,14.184479,0.0,0.0,0.0,0.0,14.403077,0.0
Cp_V2_contig_10196,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.578116,0.0
Cp_V2_contig_10197,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10198,.,0.0,5.852927,12.140239,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10199,.,0.0,116.176598,24.280478,0.0,14.751302,5.50972,2.354527,0.0,73.35601,94.502968
Cp_V2_contig_102,.,0.0,97.254807,0.0,37.15934,44.748917,15.006737,48.889141,61.334911,54.690445,180.919266
Cp_V2_contig_1020,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10200,.,0.0,0.0,0.0,0.0,4.158085,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10201,.,0.0,23.251354,57.584106,69.723709,67.865891,27.041124,243.268448,428.666656,40.012367,23.150057
Cp_V2_contig_10202,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10203,.,0.0,0.0,0.0,0.0,0.0,0.0,7.325196,0.0,0.0,0.0
Cp_V2_contig_10204,.,0.0,5.852927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10205,.,0.0,0.0,0.0,0.0,0.0,0.0,2.452632,0.0,0.0,0.0
Cp_V2_contig_10206,.,0.0,5.852927,49.053127,88.60305,38.709793,53.574776,0.0,0.0,27.293659,0.0
Cp_V2_contig_10207,.,0.0,0.0,0.0,0.0,0.0,0.0,3.172071,33.208958,4.331236,0.0
Cp_V2_contig_10208,.,0.0,4.209297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10209,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_1021,.,0.0,560.036926,557.302612,964.14502,958.042603,1065.550781,1481.389893,1313.278687,491.526489,532.768433
Cp_V2_contig_10210,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10211,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_10212,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
